Time,amf,ausf,bsf,nrf,nssf,pcf,scp,smf,udm,udr,upf
1769511330000,0,0,0,0,0,0,0,0,0,0,0
1769511332000,0.000015000000000000,0.0000030000000000000001,0,0,0,0.000006000000000000000,0,0.000012000000000000000,0.000015000000000000,0.000009000000000000000,0.0000030000000000000001
1769511334000,0.000015000000000000,0.0000030000000000000001,0,0,0,0.000006000000000000000,0,0.000012000000000000000,0.000015000000000000,0.000009000000000000000,0.0000030000000000000001
1769511336000,0.000015000000000000,0.0000030000000000000001,0,0,0,0.000006000000000000000,0,0.000012000000000000000,0.000015000000000000,0.000009000000000000000,0.0000030000000000000001
1769511338000,0.000020999999999999999,0,0,0,0,0.000010000000000000001,0,0.000010000000000000001,0.000010000000000000001,0,0.000010000000000000001
1769511340000,0.000020999999999999999,0,0,0,0,0.000010000000000000001,0,0.000010000000000000001,0.000010000000000000001,0,0.000010000000000000001
1769511342000,0,0,0,0,0,0,0,0,0,0,0
1769511344000,0,0,0,0,0,0,0,0,0,0,0
1769511346000,0,0,0,0,0,0,0,0,0,0,0
1769511348000,0,0,0,0,0,0,0,0,0,0,0
1769511350000,0,0,0,0,0,0,0,0,0,0,0
1769511352000,0,0,0,0,0,0,0,0,0,0,0
1769511354000,0,0,0,0,0,0,0,0,0,0,0
1769511356000,0,0,0,0,0,0,0,0,0,0,0
1769511358000,0.00006400000000000000,0.000020999999999999999,0,0,0,0.000020999999999999999,0,0.000053999999999999998,0.00008600000000000000,0.000043000000000000002,0
1769511360000,0.00006400000000000000,0.000020999999999999999,0,0,0,0.000020999999999999999,0,0.000053999999999999998,0.00008600000000000000,0.000043000000000000002,0
1769511362000,0,0,0,0,0,0,0,0,0,0,0
1769511364000,0,0,0,0,0,0,0,0,0,0,0
1769511366000,0,0,0,0,0,0,0,0,0,0,0
1769511368000,0,0,0,0,0,0,0,0,0,0,0
1769511370000,0,0,0,0,0,0,0,0,0,0,0
1769511372000,0,0,0,0,0,0,0,0,0,0,0
1769511374000,0,0,0,0,0,0,0,0,0,0,0
1769511376000,0,0,0,0,0,0,0,0,0,0,0
1769511378000,0.000025999999999999998,0.0000039999999999999998,0.0000039999999999999998,0,0,0.000012999999999999999,0,0.000017000000000000000,0.000025999999999999998,0.000009000000000000000,0.0000039999999999999998
1769511380000,0.000025999999999999998,0.0000039999999999999998,0.0000039999999999999998,0,0,0.000012999999999999999,0,0.000017000000000000000,0.000025999999999999998,0.000009000000000000000,0.0000039999999999999998
1769511382000,0.000012999999999999999,0,0,0,0,0.000012999999999999999,0,0.000012999999999999999,0.00003900000000000000,0.000012999999999999999,0
1769511384000,0.000012999999999999999,0,0,0,0,0.000012999999999999999,0,0.000012999999999999999,0.00003900000000000000,0.000012999999999999999,0
1769511386000,0.000012999999999999999,0,0,0,0,0.000012999999999999999,0,0.000012999999999999999,0.00003900000000000000,0.000012999999999999999,0
1769511388000,0,0,0,0,0,0,0,0,0,0,0
1769511390000,0,0,0,0,0,0,0,0,0,0,0
1769511392000,0,0,0,0,0,0,0,0,0,0,0
1769511394000,0,0,0,0,0,0,0,0,0,0,0
1769511396000,0,0,0,0,0,0,0,0,0,0,0
1769511398000,0,0,0,0,0,0,0,0,0,0,0
1769511400000,0,0,0,0,0,0,0,0,0,0,0
1769511402000,0.000023000000000000000,0.000004000000000000000,0.000004000000000000000,0,0,0.000008000000000000000,0,0.000011000000000000000,0.000019000000000000001,0.000011000000000000000,0
