"Time","amf","ausf","bsf","nrf","nssf","pcf","scp","smf","udm","udr","upf"
1769528218000,0,0,0,0,0,0,0,0,0,0,0
1769528220000,0,0,0,0,0,0,0,0,0,0,0
1769528222000,0.00011904740590810776,0.00011337848181724548,0,0.00011054401977181434,0,0,0,0,0,0,0
1769528224000,0.00011904740590810776,0.00011337848181724548,0,0.00011054401977181434,0,0,0,0,0,0,0
1769528226000,0.00011904740590810776,0.00011337848181724548,0,0.00011054401977181434,0,0,0,0,0,0,0
1769528228000,0.0037468522515439985,0.001813952190592289,0,0.001159739894951582,0,0,0,0,0.00550133022371769,0.002706059802093506,0
1769528230000,0.0037468522515439985,0.001813952190592289,0,0.001159739894951582,0,0,0,0,0.00550133022371769,0.002706059802093506,0
1769528232000,0.016827128009033205,0,0,0.0075867975914096835,0.0018480659908103943,0.006030531347494125,0,0.0038906656097888945,0.0075867975914096835,0.0032097988383436205,0
1769528234000,0.016827128009033205,0,0,0.0075867975914096835,0.0018480659908103943,0.006030531347494125,0,0.0038906656097888945,0.0075867975914096835,0.0032097988383436205,0
1769528236000,0.016827128009033205,0,0,0.0075867975914096835,0.0018480659908103943,0.006030531347494125,0,0.0038906656097888945,0.0075867975914096835,0.0032097988383436205,0
1769528238000,0.0037945519946813583,0,0.001758450894793868,0,0,0.005738103209900856,0,0.009717755194354057,0.007218903568947315,0.004720052384412289,0
1769528240000,0.0037945519946813583,0,0.001758450894793868,0,0,0.005738103209900856,0,0.009717755194354057,0.007218903568947315,0.004720052384412289,0
1769528242000,0,0,0,0,0,0,0,0,0,0,0
1769528244000,0,0,0,0,0,0,0,0,0,0,0
1769528246000,0,0,0,0,0,0,0,0,0,0,0
1769528248000,0.00007886688125133514,0.00013346702980995178,0,0,0,0,0,0,0.00012436701226234436,0.000057633490145206454,0
1769528250000,0.00007886688125133514,0.00013346702980995178,0,0,0,0,0,0,0.00012436701226234436,0.000057633490145206454,0
1769528252000,0.00451489790799141,0.0010990212850880623,0,0,0,0.0006237687992310525,0,0,0.005970358557472229,0.0027327015813827515,0
1769528254000,0.00451489790799141,0.0010990212850880623,0,0,0,0.0006237687992310525,0,0,0.005970358557472229,0.0027327015813827515,0
1769528256000,0.00451489790799141,0.0010990212850880623,0,0,0,0.0006237687992310525,0,0,0.005970358557472229,0.0027327015813827515,0
1769528258000,0.006061643825221062,0,0.0018942634131848813,0,0,0.007577053652739525,0,0.0134492717010355,0.009850170200076103,0.006156356713683605,0
1769528260000,0.006061643825221062,0,0.0018942634131848813,0,0,0.007577053652739525,0,0.0134492717010355,0.009850170200076103,0.006156356713683605,0
1769528262000,0,0,0,0,0,0,0,0,0,0,0.00006878051181552932
1769528264000,0,0,0,0,0,0,0,0,0,0,0.00006878051181552932
1769528266000,0,0,0,0,0,0,0,0,0,0,0.00006878051181552932
1769528268000,0,0,0,0,0,0,0,0,0,0,0
1769528270000,0,0,0,0,0,0,0,0,0,0,0
1769528272000,0.0003230763959813118,0.00035057231096029284,0,0.00019590804265856744,0,0,0,0,0.0002852696028208733,0.00013060535904705524,0
1769528274000,0.0003230763959813118,0.00035057231096029284,0,0.00019590804265856744,0,0,0,0,0.0002852696028208733,0.00013060535904705524,0
1769528276000,0.0003230763959813118,0.00035057231096029284,0,0.00019590804265856744,0,0,0,0,0.0002852696028208733,0.00013060535904705524,0
1769528278000,0.01691887379661083,0,0,0.00545163720181346,0,0.004229718449152708,0,0,0.015226987670960427,0.00545163720181346,0
1769528280000,0.01691887379661083,0,0,0.00545163720181346,0,0.004229718449152708,0,0,0.015226987670960427,0.00545163720181346,0
1769528282000,0.010543756591644287,0,0.0017420119662189483,0.0035757089452528954,0.0017420119662189483,0.007426472710466385,0,0.008343320653772355,0.005501090281648636,0.005501090281648636,0
1769528284000,0.010543756591644287,0,0.0017420119662189483,0.0035757089452528954,0.0017420119662189483,0.007426472710466385,0,0.008343320653772355,0.005501090281648636,0.005501090281648636,0
1769528286000,0.010543756591644287,0,0.0017420119662189483,0.0035757089452528954,0.0017420119662189483,0.007426472710466385,0,0.008343320653772355,0.005501090281648636,0.005501090281648636,0
1769528288000,0.0023539679803860187,0,0,0,0,0,0,0.005322014543159008,0.004093857378385067,0.0019445822181767226,0
1769528290000,0.0023539679803860187,0,0,0,0,0,0,0.005322014543159008,0.004093857378385067,0.0019445822181767226,0
1769528292000,0,0,0,0,0,0,0,0,0,0,0
1769528294000,0,0,0,0,0,0,0,0,0,0,0
1769528296000,0,0,0,0,0,0,0,0,0,0,0
1769528298000,0.0002914929827368259,0.0003025623414039612,0,0,0,0,0,0,0.0005350187504386902,0.00021400750720262528,0
1769528300000,0.0002914929827368259,0.0003025623414039612,0,0,0,0,0,0,0.0005350187504386902,0.00021400750720262528,0
1769528302000,0.012436940486631392,0,0,0,0,0.004023715962898731,0,0.005761228951232433,0.014814590848150254,0.0072243989072418215,0
1769528304000,0.012436940486631392,0,0,0,0,0.004023715962898731,0,0.005761228951232433,0.014814590848150254,0.0072243989072418215,0
1769528306000,0.012436940486631392,0,0,0,0,0.004023715962898731,0,0.005761228951232433,0.014814590848150254,0.0072243989072418215,0
1769528308000,0.003937554644066096,0,0.001922991828289628,0,0,0.0054026913167083265,0,0.0075088244653320315,0.0037544122326660157,0.0034796992702054975,0
1769528310000,0.003937554644066096,0,0.001922991828289628,0,0,0.0054026913167083265,0,0.0075088244653320315,0.0037544122326660157,0.0034796992702054975,0
1769528312000,0,0,0,0,0,0,0,0,0,0,0
1769528314000,0,0,0,0,0,0,0,0,0,0,0
1769528316000,0,0,0,0,0,0,0,0,0,0,0
1769528318000,0.00017519574476957322,0.00007827895016789437,0,0.00007827895016789437,0,0,0,0,0,0,0
1769528320000,0.00017519574476957322,0.00007827895016789437,0,0.00007827895016789437,0,0,0,0,0,0,0
1769528322000,0.0031712978887772562,0.0020535451857233047,0,0.0014556776768100263,0,0,0,0,0.004367032906603813,0.0020015567282223702,0
1769528324000,0.0031712978887772562,0.0020535451857233047,0,0.0014556776768100263,0,0,0,0,0.004367032906603813,0.0020015567282223702,0
1769528326000,0.0031712978887772562,0.0020535451857233047,0,0.0014556776768100263,0,0,0,0,0.004367032906603813,0.0020015567282223702,0
1769528328000,0.019314607014436724,0,0,0.007428694606010914,0.0018819360093528033,0.006240103317949772,0,0.000990492543306947,0.007923940346455575,0.0038629214501059053,0
1769528330000,0.019314607014436724,0,0,0.007428694606010914,0.0018819360093528033,0.006240103317949772,0,0.000990492543306947,0.007923940346455575,0.0038629214501059053,0
1769528332000,0.00587950119164586,0,0.001773182997983694,0,0,0.00587950119164586,0,0.0127855817091465,0.009612518662047386,0.005319548993951082,0
1769528334000,0.00587950119164586,0,0.001773182997983694,0,0,0.00587950119164586,0,0.0127855817091465,0.009612518662047386,0.005319548993951082,0
1769528336000,0.00587950119164586,0,0.001773182997983694,0,0,0.00587950119164586,0,0.0127855817091465,0.009612518662047386,0.005319548993951082,0
1769528338000,0,0,0,0,0,0,0,0,0,0,0
1769528340000,0,0,0,0,0,0,0,0,0,0,0
1769528342000,0.0000692604080170393,0.00007214626149356366,0,0,0,0,0,0,0.0000548311612033844,0,0
1769528344000,0.0000692604080170393,0.00007214626149356366,0,0,0,0,0,0,0.0000548311612033844,0,0
1769528346000,0.0000692604080170393,0.00007214626149356366,0,0,0,0,0,0,0.0000548311612033844,0,0
1769528348000,0.003359343911113739,0.001522202553369999,0,0,0,0,0,0,0.005695137333426475,0.002624487117850781,0
1769528350000,0.003359343911113739,0.001522202553369999,0,0,0,0,0,0,0.005695137333426475,0.002624487117850781,0
1769528352000,0.00970490649825096,0,0.001843932156095803,0,0,0.01009310242540598,0,0.012034083909931183,0.007472777837265731,0.005628845565623045,0
1769528354000,0.00970490649825096,0,0.001843932156095803,0,0,0.01009310242540598,0,0.012034083909931183,0.007472777837265731,0.005628845565623045,0
1769528356000,0.00970490649825096,0,0.001843932156095803,0,0,0.01009310242540598,0,0.012034083909931183,0.007472777837265731,0.005628845565623045,0
1769528358000,0.0014964248588597775,0,0,0,0,0,0,0.0019365497556066513,0.003785074846744537,0.0018485248812174799,0.00008802499902941286
1769528360000,0.0014964248588597775,0,0,0,0,0,0,0.0019365497556066513,0.003785074846744537,0.0018485248812174799,0.00008802499902941286
1769528362000,0,0,0,0,0,0,0,0,0,0,0
1769528364000,0,0,0,0,0,0,0,0,0,0,0
1769528366000,0,0,0,0,0,0,0,0,0,0,0
1769528368000,0.0001969316072010994,0.00022354399476528166,0,0.00010112703349411487,0,0,0,0,0.00016233551096439362,0.000055885998691320415,0
1769528370000,0.0001969316072010994,0.00022354399476528166,0,0.00010112703349411487,0,0,0,0,0.00016233551096439362,0.000055885998691320415,0
1769528372000,0.013132274563236237,0.0013507482346665858,0,0.00292662135371089,0,0,0,0,0.014407982598576546,0.005928284335547685,0
1769528374000,0.013132274563236237,0.0013507482346665858,0,0.00292662135371089,0,0,0,0,0.014407982598576546,0.005928284335547685,0
1769528376000,0.013132274563236237,0.0013507482346665858,0,0.00292662135371089,0,0,0,0,0.014407982598576546,0.005928284335547685,0
