"Time","amf","ausf","bsf","nrf","nssf","pcf","scp","smf","udm","udr","upf"
1769511838000,0,0,0,0,0,0,0,0,0,0,0
1769511840000,0,0,0,0,0,0,0,0,0,0,0
1769511842000,0.00027300324707746506,0.000042000504593998195,0,0,0,0.000042000504593998195,0,0.00010500125367939472,0.00016800201837599278,0,0
1769511844000,0.00027300324707746506,0.000042000504593998195,0,0,0,0.000042000504593998195,0,0.00010500125367939472,0.00016800201837599278,0,0
1769511846000,0.00027300324707746506,0.000042000504593998195,0,0,0,0.000042000504593998195,0,0.00010500125367939472,0.00016800201837599278,0,0
1769511848000,0,0,0,0,0,0,0,0,0,0,0
1769511850000,0,0,0,0,0,0,0,0,0,0,0
1769511852000,0,0,0,0,0,0,0,0,0,0,0
1769511854000,0,0,0,0,0,0,0,0,0,0,0
1769511856000,0,0,0,0,0,0,0,0,0,0,0
1769511858000,0.00019351128633499147,0.000016125939995795488,0,0,0,0.000032251879991590976,0,0.00008600501756787299,0.00009675564316749573,0.000010750627195984124,0
1769511860000,0.00019351128633499147,0.000016125939995795488,0,0,0,0.000032251879991590976,0,0.00008600501756787299,0.00009675564316749573,0.000010750627195984124,0
1769511862000,0.000193894180727005,0.00002982987310383469,0,0,0,0.000014914936551917345,0,0.00007457467942833901,0.00011931949241533876,0,0
1769511864000,0.000193894180727005,0.00002982987310383469,0,0,0,0.000014914936551917345,0,0.00007457467942833901,0.00011931949241533876,0,0
1769511866000,0.000193894180727005,0.00002982987310383469,0,0,0,0.000014914936551917345,0,0.00007457467942833901,0.00011931949241533876,0,0
1769511868000,0,0,0,0,0,0,0,0,0,0,0
1769511870000,0,0,0,0,0,0,0,0,0,0,0
1769511872000,0.000007702559763491154,0,0,0,0,0,0,0,0,0,0
1769511874000,0.000007702559763491154,0,0,0,0,0,0,0,0,0,0
1769511876000,0.000007702559763491154,0,0,0,0,0,0,0,0,0,0
1769511878000,0.00035964056343853475,0.0000435927995032072,0.0000108981998758018,0,0,0.0000653891992548108,0,0.00014167659189283848,0.00021796399751603605,0.0000108981998758018,0
